latitude,longitude,accuracy,speed,bearing,kf_latitude,kf_longitude,kf_speed_lat,kf_speed_long,kf_covariance_lat,kf_covariance_long,kf_speed_total,scan_id_label
42.64989302,-71.32415779,4,6.27,298.6000061,42.6498522370069,-71.3240790310174,2.86733801976704,-6.9159648007627,1.2116729914598,1.21167298998565,7.48680148294252,333
42.64991743,-71.32423222,4,6.33,295.5,42.649880212564,-71.324143405946,2.81024508059991,-6.87112969954403,1.34380074922979,1.34380075240572,7.42360429717209,333
42.64994302,-71.3243028,3,6.29,295.7000122,42.6499067300014,-71.3242114896789,2.7143480206955,-6.8162965753846,1.43220803893928,1.43220804314321,7.33686473781911,333
42.64996194,-71.32437263,3,6.15,290.1000061,42.6499336606656,-71.3242829374664,2.6992859170765,-6.89072176871126,1.3183090633539,1.31830906600413,7.40055342227314,333
42.64998286,-71.32443933,3,6.05,292.2999878,42.6499569978049,-71.3243537614822,2.57692772750174,-6.95894912950668,1.25623635806814,1.25623635946997,7.42074992839868,333
42.64999991,-71.3245051,3,5.82,288.6000061,42.6499788128501,-71.3244229550436,2.31355186875612,-6.88545101783735,1.22549996840336,1.22549996897047,7.26374269701663,333
42.65001602,-71.32456539,3,5.24,288.7999878,42.6499973842196,-71.3244904376034,2.01755927905794,-6.74348970574688,1.21251090167278,1.21251090178333,7.03883504963904,333
42.65003518,-71.32460674,3,4.3,290.7999878,42.6500136352359,-71.3245543120011,1.70908868857718,-6.55694369099133,1.20833653827652,1.20833653819995,6.77602351768745,333
42.65004306,-71.32464336,3,3.19,296.2999878,42.6500297732684,-71.324608173571,1.51134667045374,-6.26892259020905,1.20771371054523,1.20771371043291,6.44853155379773,333
42.65005621,-71.32466527,3,2.01,300.7999878,42.6500418518142,-71.3246535894807,1.57337252041348,-6.07879686019163,1.20802900561303,1.20802900552733,6.27911397853773,333
42.65008615,-71.32468175,4,2.71,316.2999878,42.6500549809211,-71.3246886888892,1.81685113818508,-5.65172647529332,1.20828339813684,1.20828339808945,5.93657815663669,333
42.65009155,-71.32467556,3,1.09,316.2999878,42.6500749241187,-71.3247174468049,2.2453019612157,-5.10814823026152,1.34355688024426,1.34355688022168,5.57983505485269,333
42.65009648,-71.32468988,3,1.74,316.2999878,42.6500925293735,-71.3247240335379,2.50151686630238,-3.90757743066775,1.2798490211189,1.27984902111545,4.63969266321157,333
42.65010349,-71.32471509,3,2.12,315.2999878,42.6501062390025,-71.3247289841635,2.09031854849644,-2.69335425589757,1.24137064313883,1.24137064314239,3.40933846690965,333
42.65012382,-71.32473949,3,2.55,335.3999939,42.6501152007039,-71.3247364844031,1.66228680713529,-1.89106974896837,1.22082141563844,1.22082141564311,2.51780504103065,333
42.65014774,-71.32474605,3,2.86,355.7000122,42.6501268002634,-71.3247466202357,1.39161029661982,-1.38963960194069,1.21145251470569,1.21145251470917,1.96664115713573,333
42.65017366,-71.32474077,3,3.25,12.89999962,42.6501422437235,-71.3247525854945,1.35992285725547,-1.03987924188692,1.20808842461263,1.20808842461455,1.71194013195357,333
42.65020878,-71.32471721,3,4.16,31.5,42.6501620297028,-71.3247521511235,1.47380319997388,-0.612761191313792,1.20738167103085,1.20738167103159,1.59611157186256,333
42.65023885,-71.32467632,3,4.91,39.90000153,42.6501889788223,-71.3247400585124,1.89694968045482,-0.19190502661365,1.20752509354871,1.20752509354881,1.90663201206138,333
