latitude,longitude,accuracy,speed,bearing,kf_latitude,kf_longitude,kf_speed_lat,kf_speed_long,kf_loc_covariance_long,kf_vel_covariance_long,kf_speed_total,scan_id_label
42.65051452,-71.32417319,4,0,0,42.650514672364,-71.3241733767742,0.00912314331551406,-0.00282888617010067,1.45157971737916,0.204405361865054,0.00955166691833398,3
42.65051446,-71.32417316,4,0,0,42.6505146609419,-71.3241733233416,0.00841611780822085,-0.000277552990580866,1.45158096289049,0.20440600673174,0.0084206932389461,3
42.65051439,-71.3241731,4,0,0,42.6505146265796,-71.32417326405,0.00968730509441468,-0.000487472015277147,1.45158124244864,0.204406584089516,0.00969956230754517,3
42.65051432,-71.32417305,4,0,0,42.6505145820614,-71.3241732035334,0.015100234816311,-0.00330452039157444,1.4515814875145,0.204407025151728,0.0154575854041329,3
42.65051428,-71.32417302,4,0,0,42.6505145587481,-71.324173159032,0.0149163135565008,-0.00823175585888634,1.45158188165261,0.2044073216819,0.0170369661218235,3
42.65051426,-71.32417299,4,0,0,42.6505145261262,-71.3241731462064,0.0176647004140795,-0.0101459536147838,1.45158235088153,0.204407499409937,0.0203711073698149,3
42.65051418,-71.32417292,4,0,0,42.650514517493,-71.3241731408719,0.0126378606770361,-0.00612176614214527,1.45158278979355,0.204407594380049,0.0140424906334771,3
42.65051412,-71.32417285,4,0,0,42.6505144541185,-71.3241730844143,0.0126238898890585,-0.0120338773108031,1.4515831361669,0.20440763904112,0.0174406650980556,3
42.65051406,-71.32417278,4,0,0,42.6505143472429,-71.3241731077646,0.0712810607277663,0.0556010352401151,1.45158337542988,0.204407656940172,0.0904016854834468,3
42.6505153,-71.32417153,4,0.29,46.79999924,42.6505145267315,-71.3241727843054,0.152051357338673,0.146024386551618,1.45158352248695,0.204407662647748,0.210814460453521,3
42.65052054,-71.32415468,4,0.83,46.79999924,42.650515557443,-71.3241715770817,0.366847566298564,0.311012133064024,1.4515836031314,0.204407663914184,0.480942495327886,3
42.65053688,-71.32412812,4,2.23,52.20000076,42.6505195697133,-71.3241635663171,0.4960254231995,0.587473587519998,1.45158364220012,0.204407664180018,0.768873485362748,3
42.65055691,-71.32407407,4,3.79,52.29999924,42.6505297352672,-71.3241466426515,0.566143225262246,0.777063744877483,1.4515836584698,0.204407664582636,0.961429256426783,3
42.65058295,-71.3240272,4,4.85,52.59999847,42.6505446503206,-71.3241147306626,0.92749993744266,1.53701242180008,1.45158366395661,0.204407665254814,1.79517779585307,3
42.65061983,-71.32396773,4,5.91,53.90000153,42.6505661107121,-71.3240730445361,1.30176623651828,2.24998144887678,1.45158366527703,0.204407666025059,2.5994252931809,3
42.65065916,-71.3239031,4,6.87,54.59999847,42.6505956837281,-71.3240206922145,1.87242125046898,2.72290266791822,1.45158366550359,0.204407666720585,3.30456657947211,3
42.65070463,-71.3238378,4,7.13,51.59999847,42.6506323852647,-71.3239612926622,2.33379609225793,3.4541544033929,1.45158366574108,0.204407667253165,4.16866727416772,3
42.6507614,-71.32377724,4,7.34,47,42.6506744867871,-71.323895909256,2.90764877988976,4.34209717540821,1.4515836661905,0.204407667610976,5.22572763429959,3
42.65081146,-71.32371812,5,7.45,43,42.6507245445961,-71.3238274937478,3.61070726428417,5.18377040537491,1.45158366674711,0.204407667824787,6.31733191814355,3
42.65086166,-71.32363717,6,7.65,44.59999847,42.6507749743004,-71.3237611217326,4.32184325451999,5.95787868499326,1.57204129787887,0.212944196256915,7.360342895663,3
42.6509075,-71.32355846,5,8.07,48.70000076,42.6508284774299,-71.3236872072635,4.74878977040097,6.4420108734478,1.75766542048596,0.22310622026082,8.00315615098722,3
42.650949,-71.32348294,6,8.43,48.90000153,42.6508850023923,-71.3236049117085,5.10396457537128,6.92194647077398,1.7700425797524,0.219459714197386,8.60022077221889,3
42.65100709,-71.32340194,5,8.69,47.90000153,42.6509373984039,-71.3235247514999,5.24672743557195,7.32858052545588,1.88452922273016,0.225219643428108,9.0131149610595,3
42.65104813,-71.32331868,5,8.75,48.29999924,42.6509938300367,-71.3234389752893,5.30726247582205,7.65371782540163,1.83173101584008,0.220105403414618,9.31377643805881,3
